FECHA,COMB. GANADORA,,,,,CLAVE / R
16/07/2006,03,04,12,26,42,7
9/07/2006,03,15,20,46,49,7
1/07/2006,04,20,27,40,41,9
24/06/2006,14,28,38,41,54,7
17/06/2006,07,11,34,39,49,0
10/06/2006,09,10,11,21,53,7
3/06/2006,08,09,18,34,52,8
27/05/2006,01,10,35,44,48,8
20/05/2006,15,38,42,44,52,7
13/05/2006,10,13,24,29,41,1
6/05/2006,05,29,35,51,54,4
29/04/2006,16,17,19,28,53,1
22/04/2006,09,16,19,38,48,9
15/04/2006,02,10,26,40,45,1
8/04/2006,01,06,07,17,36,7
1/04/2006,17,42,48,50,53,1
25/03/2006,01,02,29,34,53,4
18/03/2006,25,28,29,45,54,0
11/03/2006,03,14,17,18,38,5
4/03/2006,17,22,31,35,40,8
25/02/2006,23,32,36,46,48,6
18/02/2006,07,08,09,11,33,1
11/02/2006,19,20,26,31,39,7
4/02/2006,01,03,15,32,36,5
28/01/2006,07,19,32,38,45,6
21/01/2006,08,18,19,27,45,9
14/01/2006,11,17,18,32,53,3
7/01/2006,04,07,31,32,34,2
31/12/2005,08,18,27,40,52,3
24/12/2005,07,09,37,47,52,6
17/12/2005,11,13,29,42,46,7
10/12/2005,21,32,48,53,54,0
3/12/2005,08,25,36,39,54,5
26/11/2005,03,08,30,47,49,7
19/11/2005,17,18,43,44,45,5
12/11/2005,03,05,07,38,44,3
5/11/2005,02,12,22,26,28,9
29/10/2005,27,34,36,42,46,3
22/10/2005,06,15,20,39,44,0
16/10/2005,03,12,23,50,51,3
9/10/2005,08,11,21,30,38,5
2/10/2005,12,22,32,37,49,1
25/09/2005,05,10,25,27,41,9
18/09/2005,06,19,31,46,53,1
11/09/2005,03,12,21,42,46,4
4/09/2005,13,26,32,44,53,0
28/08/2005,02,04,15,36,44,0
21/08/2005,06,23,42,43,53,3
14/08/2005,17,19,40,46,54,1
7/08/2005,06,12,14,41,49,2
31/07/2005,18,22,27,31,39,8
24/07/2005,06,07,15,46,53,0
17/07/2005,02,14,31,37,38,6
10/07/2005,03,11,26,34,50,9
3/07/2005,15,29,39,43,52,5
26/06/2005,19,20,21,24,33,8
19/06/2005,07,12,24,37,40,3
12/06/2005,02,06,23,24,35,6
5/06/2005,06,13,17,35,39,3
29/05/2005,04,11,19,37,49,6
22/05/2005,18,20,32,38,45,7
15/05/2005,03,18,43,45,53,1
8/05/2005,21,25,30,50,51,5
1/05/2005,05,07,16,18,19,8
24/04/2005,07,12,33,40,44,4
17/04/2005,12,22,33,40,46,8
10/04/2005,24,28,33,44,51,8
3/04/2005,01,02,21,36,52,3
27/03/2005,09,11,19,31,54,9
20/03/2005,19,44,49,51,52,8
13/03/2005,07,17,45,47,50,9
6/03/2005,12,22,25,35,48,2
27/02/2005,11,19,20,35,53,3
20/02/2005,02,13,17,25,47,2
13/02/2005,22,35,37,43,52,9
6/02/2005,34,42,47,48,51,5
